Food,Calories,Protein
Rice (1 plate),250,5
Roti (1),100,3
Dal (1 bowl),180,9
Chole (1 bowl),280,12
Rajma (1 bowl),260,11
Paneer (100g),265,18
Chicken (100g),165,31
Egg (1),70,6
Milk (1 glass),150,8
Curd (1 bowl),120,6
Soya Chunks (50g),170,26
Oats (50g),190,6
Poha (1 plate),250,6
Upma (1 plate),220,5
Idli (2),150,5
Dosa (1),180,4
Sambar (1 bowl),120,6
Aloo Paratha (1),300,6
Vegetable Pulao (1 plate),280,6
Fried Rice (1 plate),330,7
Maggi (1 pack),350,8
Banana (1),100,1
Apple (1),95,0
Peanut Butter (1 tbsp),100,4
Boiled Potato (1),110,2
Sweet Potato (1),120,2
